common_name,canonical_name,scientific_name,group,file,transparent_file,public_path
中华花鳅,Cobitis sinensis,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_005_species_sheet_02_中华花鳅__Cobitis_sinensis.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_005_species_sheet_02_中华花鳅_Cobitis_sinensis.png,/species-transparent/batch_005_species_sheet_02_中华花鳅_Cobitis_sinensis.png?v=cutfix4_20260510
棒花鱼,Abbottina rivularis,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_005_species_sheet_03_棒花鱼__Abbottina_rivularis.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_005_species_sheet_03_棒花鱼_Abbottina_rivularis.png,/species-transparent/batch_005_species_sheet_03_棒花鱼_Abbottina_rivularis.png?v=cutfix4_20260510
麦穗鱼,Pseudorasbora parva,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_005_species_sheet_04_麦穗鱼__Pseudorasbora_parva.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_005_species_sheet_04_麦穗鱼_Pseudorasbora_parva.png,/species-transparent/batch_005_species_sheet_04_麦穗鱼_Pseudorasbora_parva.png?v=cutfix4_20260510
圆尾斗鱼,Macropodus ocellatus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_005_species_sheet_05_圆尾斗鱼__Macropodus_ocellatus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_005_species_sheet_05_圆尾斗鱼_Macropodus_ocellatus.png,/species-transparent/batch_005_species_sheet_05_圆尾斗鱼_Macropodus_ocellatus.png?v=cutfix4_20260510
黑叉尾斗鱼,Macropodus spechti,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_005_species_sheet_06_黑叉尾斗鱼__Macropodus_spechti.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_005_species_sheet_06_黑叉尾斗鱼_Macropodus_spechti.png,/species-transparent/batch_005_species_sheet_06_黑叉尾斗鱼_Macropodus_spechti.png?v=cutfix4_20260510
越南爬岩鳅,Sewellia lineolata,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_005_species_sheet_07_越南爬岩鳅__Sewellia_lineolata.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_005_species_sheet_07_越南爬岩鳅_Sewellia_lineolata.png,/species-transparent/batch_005_species_sheet_07_越南爬岩鳅_Sewellia_lineolata.png?v=cutfix4_20260510
中华细鲫,Aphyocypris chinensis,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_005_species_sheet_08_中华细鲫__Aphyocypris_chinensis.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_005_species_sheet_08_中华细鲫_Aphyocypris_chinensis.png,/species-transparent/batch_005_species_sheet_08_中华细鲫_Aphyocypris_chinensis.png?v=cutfix4_20260510
长臀鮠,Pseudobagrus fulvidraco,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_005_species_sheet_09_长臀鮠__Pseudobagrus_fulvidraco.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_005_species_sheet_09_长臀鮠_Pseudobagrus_fulvidraco.png,/species-transparent/batch_005_species_sheet_09_长臀鮠_Pseudobagrus_fulvidraco.png?v=cutfix4_20260510
大刺鳅,Mastacembelus armatus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_005_species_sheet_10_大刺鳅__Mastacembelus_armatus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_005_species_sheet_10_大刺鳅_Mastacembelus_armatus.png,/species-transparent/batch_005_species_sheet_10_大刺鳅_Mastacembelus_armatus.png?v=cutfix4_20260510
珍珠赤雷龙,Channa asiatica,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_006_species_sheet_01_珍珠赤雷龙__Channa_asiatica.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_006_species_sheet_01_珍珠赤雷龙_Channa_asiatica.png,/species-transparent/batch_006_species_sheet_01_珍珠赤雷龙_Channa_asiatica.png?v=cutfix4_20260510
巴卡雷龙,Channa barca,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_006_species_sheet_02_巴卡雷龙__Channa_barca.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_006_species_sheet_02_巴卡雷龙_Channa_barca.png,/species-transparent/batch_006_species_sheet_02_巴卡雷龙_Channa_barca.png?v=cutfix4_20260510
光唇鱼,Acrossocheilus fasciatus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_006_species_sheet_03_光唇鱼__Acrossocheilus_fasciatus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_006_species_sheet_03_光唇鱼_Acrossocheilus_fasciatus.png,/species-transparent/batch_006_species_sheet_03_光唇鱼_Acrossocheilus_fasciatus.png?v=cutfix4_20260510
月光鼠,Corydoras hastatus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_006_species_sheet_04_月光鼠__Corydoras_hastatus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_006_species_sheet_04_月光鼠_Corydoras_hastatus.png,/species-transparent/batch_006_species_sheet_04_月光鼠_Corydoras_hastatus.png?v=cutfix4_20260510
精灵鼠,Corydoras pygmaeus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_006_species_sheet_05_精灵鼠__Corydoras_pygmaeus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_006_species_sheet_05_精灵鼠_Corydoras_pygmaeus.png,/species-transparent/batch_006_species_sheet_05_精灵鼠_Corydoras_pygmaeus.png?v=cutfix4_20260510
红宝石鱼,Hemichromis bimaculatus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_006_species_sheet_06_红宝石鱼__Hemichromis_bimaculatus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_006_species_sheet_06_红宝石鱼_Hemichromis_bimaculatus.png,/species-transparent/batch_006_species_sheet_06_红宝石鱼_Hemichromis_bimaculatus.png?v=cutfix4_20260510
金刚鹦鹉鱼,Cichlasoma,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_006_species_sheet_07_金刚鹦鹉鱼__Cichlasoma.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_006_species_sheet_07_金刚鹦鹉鱼_Cichlasoma.png,/species-transparent/batch_006_species_sheet_07_金刚鹦鹉鱼_Cichlasoma.png?v=cutfix4_20260510
菠萝鱼,Heros severus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_006_species_sheet_08_菠萝鱼__Heros_severus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_006_species_sheet_08_菠萝鱼_Heros_severus.png,/species-transparent/batch_006_species_sheet_08_菠萝鱼_Heros_severus.png?v=cutfix4_20260510
珍珠虎,Altolamprologus calvus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_006_species_sheet_09_珍珠虎__Altolamprologus_calvus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_006_species_sheet_09_珍珠虎_Altolamprologus_calvus.png,/species-transparent/batch_006_species_sheet_09_珍珠虎_Altolamprologus_calvus.png?v=cutfix4_20260510
九间贝,Neolamprologus multifasciatus,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_006_species_sheet_10_九间贝__Neolamprologus_multifasciatus.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_006_species_sheet_10_九间贝_Neolamprologus_multifasciatus.png,/species-transparent/batch_006_species_sheet_10_九间贝_Neolamprologus_multifasciatus.png?v=cutfix4_20260510
天堂鱼,Macropodus opercularis,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_007_species_sheet_01_天堂鱼__Macropodus_opercularis.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_007_species_sheet_01_天堂鱼_Macropodus_opercularis.png,/species-transparent/batch_007_species_sheet_01_天堂鱼_Macropodus_opercularis.png?v=cutfix4_20260510
巧克力曼龙,Sphaerichthys osphromenoides,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_007_species_sheet_02_巧克力曼龙__Sphaerichthys_osphromenoides.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_007_species_sheet_02_巧克力曼龙_Sphaerichthys_osphromenoides.png,/species-transparent/batch_007_species_sheet_02_巧克力曼龙_Sphaerichthys_osphromenoides.png?v=cutfix4_20260510
飞凤鱼,Semaprochilodus insignis,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_007_species_sheet_03_飞凤鱼__Semaprochilodus_insignis.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_007_species_sheet_03_飞凤鱼_Semaprochilodus_insignis.png,/species-transparent/batch_007_species_sheet_03_飞凤鱼_Semaprochilodus_insignis.png?v=cutfix4_20260510
红眼灯,Moenkhausia sanctaefilomenae,,species_batches,/Users/chuchu/Documents/codex/fish_pipeline/output/generated_archive/cropped_species/all_images/batch_007_species_sheet_04_红眼灯__Moenkhausia_sanctaefilomenae.png,/Users/chuchu/Documents/New project/aquaguide_frontend/public/species-transparent/batch_007_species_sheet_04_红眼灯_Moenkhausia_sanctaefilomenae.png,/species-transparent/batch_007_species_sheet_04_红眼灯_Moenkhausia_sanctaefilomenae.png?v=cutfix4_20260510
